#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
182,G,Tomas Satoransky,Washington Wizards,60,4.7%,0.3,0.2,0.737,0.1,0.1,0.2,40%,40%,26.3%,26.3%,21.1%,36.8%
183,G,Klay Thompson,Golden State Warriors,66,4.4%,0.8,0.6,0.736,0.4,0.2,0.7,34.9%,40.7%,15.1%,3.8%,3.8%,32.1%
184,F,Kyle O'Quinn,New York Knicks,67,6.5%,0.4,0.3,0.733,0.3,0.1,0.4,35.7%,35.7%,3.3%,3.3%,3.3%,36.7%
185,F,DeMarre Carroll,Brooklyn Nets,63,6.5%,0.9,0.7,0.732,0.4,0.2,0.6,29.7%,31.1%,10.7%,23.2%,14.3%,42.9%
186,G,Dwyane Wade,Cleveland Cavaliers,46,11.5%,1.5,1.1,0.731,0.8,0.4,1.2,33.3%,33.3%,7.5%,13.4%,13.4%,35.8%
187,G,Raymond Felton,Oklahoma City Thunder,70,9.3%,0.7,0.5,0.731,0.4,0.2,0.6,38.6%,43.2%,13.5%,0%,1.9%,32.7%
188,F,John Collins,Atlanta Hawks,63,1.8%,0.2,0.1,0.727,0.1,0.1,0.2,36.4%,36.4%,0%,0%,0%,36.4%
189,G,Shelvin Mack,Orlando Magic,56,7.3%,0.5,0.4,0.724,0.3,0.1,0.4,27.3%,27.3%,6.9%,20.7%,20.7%,37.9%
190,G,Manu Ginobili,San Antonio Spurs,53,3.5%,0.3,0.2,0.722,0.2,0.1,0.3,29.4%,35.3%,5.6%,5.6%,5.6%,27.8%
191,G,Mike Conley,Memphis Grizzlies,12,15.1%,2.7,1.9,0.719,1.4,0.6,2,29.2%,33.3%,12.5%,15.6%,12.5%,34.4%
192,G-F,Paul Zipser,Chicago Bulls,50,8.3%,0.4,0.3,0.714,0.2,0.1,0.3,43.8%,43.8%,19%,4.8%,4.8%,38.1%
193,F,Shabazz Muhammad,Minnesota Timberwolves,32,17%,0.8,0.5,0.708,0.4,0.2,0.7,33.3%,33.3%,0%,12.5%,12.5%,41.7%
